# COMMENT	SELECT * FROM beast_example_phat/beast_example_phat Isochrones WHERE ~((M_ini < 12.) & (stage == 0))
# ISOCHRONE	1.0000e+06 yr
# NAME	beast_example_phat/beast_example_phat Isochrones
# Z	stage
# BINARY_FRAC	0.3
# BINARY_KIND	1
# BINARY_MRINF	0.7
# BINARY_MRSUP	1
# CMD_VERSION	2.7
# DUST_SOURCE	nodust
# DUST_SOURCEC	AMCSIC15
# DUST_SOURCEM	dpmod60alox40
# ETA_REIMERS	0.2
# EXTINCTION_AV	0
# ICM_LIM	4
# IMF_FILE	tab_imf/imf_kroupa.dat
# ISOC_AGE	10000000.0
# ISOC_AGE0	12700000000.0
# ISOC_DLAGE	1.0
# ISOC_DZ	0.0001
# ISOC_KIND	parsec_CAF09_v1.2S
# ISOC_LAGE0	6.0
# ISOC_LAGE1	10.13
# ISOC_VAL	1
# ISOC_Z0	0.0001
# ISOC_Z1	0.03
# ISOC_ZETA	0.02
# ISOC_ZETA0	0.03
# KIND_CSPECMAG	aringer09
# KIND_DUST	0
# KIND_INTERP	1
# KIND_MAG	2
# KIND_POSTAGB	-1
# KIND_PULSECYCLE	0
# KIND_TPAGB	0
# LF_DELTAMAG	0.2
# LF_MAGINF	20
# LF_MAGSUP	-20
# MAG_LIM	26
# MAG_RES	0.1
# OUTPUT_EVSTAGE	1
# OUTPUT_GZIP	0
# OUTPUT_KIND	0
# PHOTSYS_FILE	tab_mag_odfnew/tab_mag_bessell.dat
# SUBMIT_FORM	Submit
##               Column	      Unit	Comment	Null	  Fmt
##                    Z	          	Metallicity		25.17e
##                M_ini	      Msun	Initial Mass		25.17e
##                M_act	      Msun	Current Mass, M(t)		25.17e
##                 mbol	          			25.17e
##                stage	          			  22i
##                 logA	        yr	Age		25.17e
##                 logL	      Lsun	Luminosity		25.17e
##                 logT	         K	Effective temperature		25.17e
##                 logg	   cm/s**2	Surface gravity		25.17e
Z,M_ini,M_act,mbol,stage,logA,logL,logT,logg
  2.99999999999999989e-02,  5.46106671999999982e+00,  5.46110000000000007e+00, -2.36299999999999999e+00,                     1,  6.00000000000000000e+00,  2.85300000000000020e+00,  4.24369999999999958e+00,  4.24899999999999967e+00
  2.99999999999999989e-02,  5.59999990000000025e+00,  5.59999999999999964e+00, -2.46300000000000008e+00,                     1,  6.00000000000000000e+00,  2.89299999999999979e+00,  4.25049999999999972e+00,  4.24720000000000031e+00
  2.99999999999999989e-02,  5.80000019000000044e+00,  5.79999999999999982e+00, -2.60000000000000009e+00,                     1,  6.00000000000000000e+00,  2.94790000000000019e+00,  4.25990000000000002e+00,  4.24530000000000030e+00
  2.99999999999999989e-02,  6.00000000000000000e+00,  6.00000000000000000e+00, -2.73399999999999999e+00,                     1,  6.00000000000000000e+00,  3.00159999999999982e+00,  4.26900000000000013e+00,  4.24260000000000037e+00
  2.99999999999999989e-02,  6.19999980999999956e+00,  6.20000000000000018e+00, -2.85899999999999999e+00,                     1,  6.00000000000000000e+00,  3.05180000000000007e+00,  4.27759999999999962e+00,  4.24089999999999989e+00
  2.99999999999999989e-02,  6.40000009999999975e+00,  6.40000000000000036e+00, -2.98399999999999999e+00,                     1,  6.00000000000000000e+00,  3.10159999999999991e+00,  4.28599999999999959e+00,  4.23850000000000016e+00
  2.99999999999999989e-02,  7.00000000000000000e+00,  7.00000000000000000e+00, -3.32900000000000018e+00,                     1,  6.00000000000000000e+00,  3.23959999999999981e+00,  4.30919999999999970e+00,  4.23230000000000040e+00
  2.99999999999999989e-02,  8.00000000000000000e+00,  8.00000000000000000e+00, -3.83300000000000018e+00,                     1,  6.00000000000000000e+00,  3.44130000000000003e+00,  4.34260000000000002e+00,  4.22210000000000019e+00
  2.99999999999999989e-02,  9.00000000000000000e+00,  9.00000000000000000e+00, -4.26900000000000013e+00,                     1,  6.00000000000000000e+00,  3.61560000000000015e+00,  4.37059999999999960e+00,  4.21110000000000007e+00
  2.99999999999999989e-02,  1.00000000000000000e+01,  1.00000000000000000e+01, -4.64799999999999969e+00,                     1,  6.00000000000000000e+00,  3.76739999999999986e+00,  4.39459999999999962e+00,  4.20099999999999962e+00
  2.99999999999999989e-02,  1.10000000000000000e+01,  1.10000000000000000e+01, -4.98700000000000010e+00,                     1,  6.00000000000000000e+00,  3.90280000000000005e+00,  4.41579999999999995e+00,  4.19169999999999998e+00
  2.99999999999999989e-02,  1.20000000000000000e+01,  1.20000000000000000e+01, -5.29000000000000004e+00,                     1,  6.00000000000000000e+00,  4.02409999999999979e+00,  4.43430000000000035e+00,  4.18229999999999968e+00
  2.99999999999999989e-02,  1.21566257499999999e+01,  1.21562999999999999e+01, -5.33399999999999963e+00,                     1,  6.00000000000000000e+00,  4.04150000000000009e+00,  4.43689999999999962e+00,  4.18090000000000028e+00
  2.99999999999999989e-02,  1.40000000000000000e+01,  1.39941999999999993e+01, -5.81099999999999994e+00,                     0,  6.00000000000000000e+00,  4.23240000000000016e+00,  4.46560000000000024e+00,  4.16610000000000014e+00
  2.99999999999999989e-02,  1.60000000000000000e+01,  1.59863999999999997e+01, -6.24699999999999989e+00,                     0,  6.00000000000000000e+00,  4.40679999999999961e+00,  4.49089999999999989e+00,  4.15069999999999961e+00
  2.99999999999999989e-02,  1.65776634200000004e+01,  1.65604000000000013e+01, -6.35799999999999965e+00,                     0,  6.00000000000000000e+00,  4.45129999999999981e+00,  4.49720000000000031e+00,  4.14649999999999963e+00
  2.99999999999999989e-02,  1.80000000000000000e+01,  1.79720000000000013e+01, -6.61699999999999999e+00,                     0,  6.00000000000000000e+00,  4.55489999999999995e+00,  4.51170000000000027e+00,  4.13670000000000027e+00
  2.99999999999999989e-02,  2.00000000000000000e+01,  1.99490000000000016e+01, -6.93799999999999972e+00,                     0,  6.00000000000000000e+00,  4.68320000000000025e+00,  4.52920000000000034e+00,  4.12359999999999971e+00
  2.99999999999999989e-02,  2.25817890199999987e+01,  2.24828000000000010e+01, -7.29000000000000004e+00,                     0,  6.00000000000000000e+00,  4.82380000000000031e+00,  4.54729999999999990e+00,  4.10730000000000040e+00
  2.99999999999999989e-02,  2.40000000000000000e+01,  2.38683000000000014e+01, -7.46600000000000019e+00,                     0,  6.00000000000000000e+00,  4.89449999999999985e+00,  4.55630000000000024e+00,  4.09860000000000024e+00
  2.99999999999999989e-02,  2.98241672499999986e+01,  2.94681999999999995e+01, -8.05199999999999960e+00,                     0,  6.00000000000000000e+00,  5.12880000000000003e+00,  4.58349999999999991e+00,  4.06449999999999978e+00
  2.99999999999999989e-02,  3.00000000000000000e+01,  2.96356999999999999e+01, -8.06799999999999962e+00,                     0,  6.00000000000000000e+00,  5.13520000000000021e+00,  4.58420000000000005e+00,  4.06350000000000033e+00
  2.99999999999999989e-02,  3.50000000000000000e+01,  3.43247000000000000e+01, -8.45299999999999940e+00,                     0,  6.00000000000000000e+00,  5.28910000000000036e+00,  4.59970000000000034e+00,  4.03540000000000010e+00
  2.99999999999999989e-02,  4.00000000000000000e+01,  3.89003999999999976e+01, -8.76800000000000068e+00,                     0,  6.00000000000000000e+00,  5.41530000000000022e+00,  4.61080000000000023e+00,  4.00790000000000024e+00
  2.99999999999999989e-02,  4.09254913299999998e+01,  3.97331000000000003e+01, -8.81900000000000084e+00,                     0,  6.00000000000000000e+00,  5.43580000000000041e+00,  4.61240000000000006e+00,  4.00279999999999969e+00
  2.99999999999999989e-02,  4.50000000000000000e+01,  4.33596000000000004e+01, -9.03200000000000003e+00,                     0,  6.00000000000000000e+00,  5.52059999999999995e+00,  4.61859999999999982e+00,  3.98099999999999987e+00
  2.99999999999999989e-02,  4.79037246700000026e+01,  4.59001999999999981e+01, -9.16499999999999915e+00,                     0,  6.00000000000000000e+00,  5.57390000000000008e+00,  4.62180000000000035e+00,  3.96519999999999984e+00
  2.99999999999999989e-02,  5.00000000000000000e+01,  4.77130000000000010e+01, -9.25600000000000023e+00,                     0,  6.00000000000000000e+00,  5.61029999999999962e+00,  4.62389999999999990e+00,  3.95380000000000020e+00
  2.99999999999999989e-02,  5.50000000000000000e+01,  5.19615000000000009e+01, -9.44999999999999929e+00,                     0,  6.00000000000000000e+00,  5.68820000000000014e+00,  4.62729999999999997e+00,  3.92660000000000009e+00
  2.99999999999999989e-02,  6.00000000000000000e+01,  5.61051000000000002e+01, -9.62199999999999989e+00,                     0,  6.00000000000000000e+00,  5.75689999999999991e+00,  4.62910000000000021e+00,  3.89869999999999983e+00
  2.99999999999999989e-02,  6.50000000000000000e+01,  6.01492999999999967e+01, -9.77599999999999980e+00,                     0,  6.00000000000000000e+00,  5.81820000000000004e+00,  4.62969999999999970e+00,  3.86969999999999992e+00
  2.99999999999999989e-02,  7.00000000000000000e+01,  6.41007000000000033e+01, -9.91300000000000026e+00,                     0,  6.00000000000000000e+00,  5.87309999999999999e+00,  4.62899999999999956e+00,  3.83990000000000009e+00
  2.99999999999999989e-02,  7.50000000000000000e+01,  6.79639999999999986e+01, -1.00370000000000008e+01,                     0,  6.00000000000000000e+00,  5.92300000000000004e+00,  4.62739999999999974e+00,  3.80900000000000016e+00
  2.99999999999999989e-02,  8.00000000000000000e+01,  7.17437999999999931e+01, -1.01519999999999992e+01,                     0,  6.00000000000000000e+00,  5.96860000000000035e+00,  4.62479999999999958e+00,  3.77649999999999997e+00
  2.99999999999999989e-02,  9.00000000000000000e+01,  7.89531000000000063e+01, -1.03510000000000009e+01,                     0,  6.00000000000000000e+00,  6.04849999999999977e+00,  4.61720000000000041e+00,  3.70770000000000000e+00
  2.99999999999999989e-02,  9.50000000000000000e+01,  8.24462000000000046e+01, -1.04399999999999995e+01,                     0,  6.00000000000000000e+00,  6.08410000000000029e+00,  4.61319999999999997e+00,  3.67479999999999984e+00
  2.99999999999999989e-02,  1.00519905089999995e+02,  8.61307000000000045e+01, -1.05320000000000000e+01,                     0,  6.00000000000000000e+00,  6.12070000000000025e+00,  4.61209999999999987e+00,  3.65269999999999984e+00
  2.99999999999999989e-02,  1.05740913390000003e+02,  8.88987999999999943e+01, -1.06090000000000000e+01,                     0,  6.00000000000000000e+00,  6.15139999999999976e+00,  4.61869999999999958e+00,  3.66230000000000011e+00
  2.99999999999999989e-02,  1.12843254090000002e+02,  9.32540000000000049e+01, -1.07110000000000003e+01,                     0,  6.00000000000000000e+00,  6.19230000000000036e+00,  4.62460000000000004e+00,  3.66590000000000016e+00
  2.99999999999999989e-02,  1.16301460270000007e+02,  9.57412999999999954e+01, -1.07590000000000003e+01,                     0,  6.00000000000000000e+00,  6.21170000000000044e+00,  4.62509999999999977e+00,  3.65960000000000019e+00
  2.99999999999999989e-02,  1.19460578920000003e+02,  9.83298000000000059e+01, -1.08030000000000008e+01,                     0,  6.00000000000000000e+00,  6.22909999999999986e+00,  4.62479999999999958e+00,  3.65280000000000005e+00
  2.99999999999999989e-02,  1.20000000000000000e+02,  9.88114000000000061e+01, -1.08100000000000005e+01,                     0,  6.00000000000000000e+00,  6.23200000000000021e+00,  4.62479999999999958e+00,  3.65180000000000016e+00
  2.99999999999999989e-02,  1.22343269350000000e+02,  1.00147700000000000e+02, -1.08399999999999999e+01,                     0,  6.00000000000000000e+00,  6.24410000000000043e+00,  4.62530000000000019e+00,  3.64769999999999994e+00
  2.99999999999999989e-02,  1.36012405400000006e+02,  1.08402400000000000e+02, -1.09960000000000004e+01,                     0,  6.00000000000000000e+00,  6.30660000000000043e+00,  4.63459999999999983e+00,  3.65700000000000003e+00
  2.99999999999999989e-02,  1.50000000000000000e+02,  1.16696299999999994e+02, -1.11329999999999991e+01,                     0,  6.00000000000000000e+00,  6.36120000000000019e+00,  4.64749999999999996e+00,  3.68570000000000020e+00
  2.99999999999999989e-02,  2.00000000000000000e+02,  1.44130899999999997e+02, -1.15190000000000001e+01,                     0,  6.00000000000000000e+00,  6.51569999999999983e+00,  4.67590000000000039e+00,  3.73649999999999993e+00
  2.99999999999999989e-02,  2.00000320429999988e+02,  1.39624799999999993e+02, -1.15009999999999994e+01,                     0,  6.00000000000000000e+00,  6.50860000000000039e+00,  4.67469999999999963e+00,  3.72520000000000007e+00
  2.99999999999999989e-02,  2.00000701899999996e+02,  1.33774300000000011e+02, -1.14779999999999998e+01,                     0,  6.00000000000000000e+00,  6.49899999999999967e+00,  4.67279999999999962e+00,  3.70880000000000010e+00
  2.99999999999999989e-02,  2.00001037599999989e+02,  1.28207099999999997e+02, -1.14540000000000006e+01,                     0,  6.00000000000000000e+00,  6.48949999999999960e+00,  4.67129999999999956e+00,  3.69370000000000021e+00
  2.99999999999999989e-02,  2.00001327510000010e+02,  1.22724699999999999e+02, -1.14290000000000003e+01,                     0,  6.00000000000000000e+00,  6.47970000000000024e+00,  4.67129999999999956e+00,  3.68449999999999989e+00
  2.99999999999999989e-02,  2.00001586909999986e+02,  1.17545599999999993e+02, -1.14049999999999994e+01,                     0,  6.00000000000000000e+00,  6.46989999999999998e+00,  4.67149999999999999e+00,  3.67640000000000011e+00
  2.99999999999999989e-02,  2.00001831049999993e+02,  1.12453299999999999e+02, -1.13810000000000002e+01,                     0,  6.00000000000000000e+00,  6.46049999999999969e+00,  4.67079999999999984e+00,  3.66349999999999998e+00
  2.99999999999999989e-02,  2.00002044680000012e+02,  1.04965800000000002e+02, -1.13270000000000000e+01,                     0,  6.00000000000000000e+00,  6.43869999999999987e+00,  4.67949999999999999e+00,  3.69019999999999992e+00
  2.99999999999999989e-02,  2.00002105709999995e+02,  9.97947000000000060e+01, -1.12669999999999995e+01,                     0,  6.00000000000000000e+00,  6.41500000000000004e+00,  4.68679999999999986e+00,  3.72120000000000006e+00
  2.99999999999999989e-02,  2.00002197270000011e+02,  9.23543999999999983e+01, -1.11679999999999993e+01,                     0,  6.00000000000000000e+00,  6.37500000000000000e+00,  4.68620000000000037e+00,  3.72529999999999983e+00
  2.99999999999999989e-02,  2.00002288819999990e+02,  8.56477000000000004e+01, -1.10690000000000008e+01,                     0,  6.00000000000000000e+00,  6.33539999999999992e+00,  4.68489999999999984e+00,  3.72679999999999989e+00
  2.99999999999999989e-02,  2.00002380369999997e+02,  7.88294999999999959e+01, -1.09589999999999996e+01,                     0,  6.00000000000000000e+00,  6.29159999999999986e+00,  4.68330000000000002e+00,  3.72820000000000018e+00
  2.99999999999999989e-02,  2.00002471920000005e+02,  7.32681000000000040e+01, -1.08620000000000001e+01,                     0,  6.00000000000000000e+00,  6.25260000000000016e+00,  4.68189999999999973e+00,  3.72969999999999979e+00
  2.99999999999999989e-02,  2.00002563479999992e+02,  6.79767999999999972e+01, -1.07629999999999999e+01,                     0,  6.00000000000000000e+00,  6.21330000000000027e+00,  4.67989999999999995e+00,  3.72860000000000014e+00
  2.99999999999999989e-02,  2.00002655030000000e+02,  6.30763000000000034e+01, -1.06649999999999991e+01,                     0,  6.00000000000000000e+00,  6.17419999999999991e+00,  4.67830000000000013e+00,  3.72889999999999988e+00
  2.99999999999999989e-02,  2.00002731320000009e+02,  5.85367000000000033e+01, -1.05670000000000002e+01,                     0,  6.00000000000000000e+00,  6.13499999999999979e+00,  4.67680000000000007e+00,  3.72960000000000003e+00
  2.99999999999999989e-02,  2.00002822879999997e+02,  5.43314000000000021e+01, -1.04689999999999994e+01,                     0,  6.00000000000000000e+00,  6.09579999999999966e+00,  4.67560000000000020e+00,  3.73150000000000004e+00
  2.99999999999999989e-02,  2.00002929690000002e+02,  5.00516000000000005e+01, -1.03610000000000007e+01,                     0,  6.00000000000000000e+00,  6.05239999999999956e+00,  4.67429999999999968e+00,  3.73410000000000020e+00
  2.99999999999999989e-02,  2.00003021240000010e+02,  4.61165999999999983e+01, -1.02520000000000007e+01,                     0,  6.00000000000000000e+00,  6.00889999999999969e+00,  4.67300000000000004e+00,  3.73709999999999987e+00
  2.99999999999999989e-02,  2.00003112789999989e+02,  4.29037999999999968e+01, -1.01549999999999994e+01,                     0,  6.00000000000000000e+00,  5.97020000000000017e+00,  4.67210000000000036e+00,  3.74069999999999991e+00
