# From Tables B.3 and B.4 in Stellar Spectral Classification
spec_type spec_subtype V III I
O 3 44852 42942 42233
O 4 42857 41486 40422
O 5 40862 39507 38612
O 5.5 39865 38003 37706
O 6 38867 36673 36801
O 6.5 37870 35644 35895
O 7 36872 34638 34990
O 7.5 35874 33487 34084
O 8 34877 32573 33179
O 8.5 33879 31689 32274
O 9 32882 30737 31368
O 9.5 31884 30231 30463
B 0 29000 29000 nan
B 1 24500 24500 nan
B 2 19500 21050 18000
B 3 16500 16850 nan
B 5 15000 14800 13600
B 7 13000 13700 nan
B 8 11500 13150 11100
B 9 10700 11731 nan
A 0 9800 10000 9900
A 1 9500 9500 nan
A 2 8900 9000 9000
A 3 8520 8500 8400
A 5 8150 8000 8100
A 7 7830 7750 7800
A 9 7380 7450 nan
F 0 7250 7350 7200
F 1 7120 7200 7050
F 2 7000 7050 6960
F 3 6750 6840 6770
F 5 6550 6630 6570
F 7 6250 6330 6280
F 8 6170 6220 6180
F 9 6010 6020 5980
G 0 5900 5800 5590
G 1 5800 5700 5490
G 2 5760 5500 5250
G 5 5580 5200 5000
G 8 5430 4950 4700
G 9 5350 nan nan
K 0 5280 4810 4500
K 1 5110 4585 4200
K 2 4940 4390 4100
K 3 4700 4225 nan
K 5 4400 3955 nan
K 7 4130 nan 3840
M 0 3759 3845 3790
M 1 3624 3750 3745
M 2 3489 3655 3660
M 3 3354 3560 3605
M 4 3219 3460 nan
M 5 3084 3355 3450
M 6 2949 3240 nan
M 7 2814 3100 nan
M 8 2679 2940 nan
M 9 2544 2755 nan
